id,start,duration,attendance_status,status,topic,service_id,contractor_id,student_id,paying_client_id,charge_rate,tutor_rate,startDate,commRate,commissionOld,newCommRate,commissionNew,,month,Oct-24
7663659,2022-08-18T16:00:00Z,1,,cancelled,11+ Preparation,552872,1749410,1749557,1749556,70,53,18/08/2022 16:00,17,17,12,12,,,
7516265,2022-08-18T17:00:00Z,2,,cancelled,Maths,552825,1751334,1749458,1748975,58,48,18/08/2022 17:00,10,20,10,20,,,
7663710,2022-08-18T17:30:00Z,1,,cancelled,English & 11+ Exam Technique,552877,1749410,1749559,1749558,70,50,18/08/2022 17:30,20,20,20,20,,,
7629986,2022-08-20T08:30:00Z,1,,cancelled,7+ Preparation,552883,1749613,1749563,1749561,68,48,20/08/2022 08:30,20,20,20,20,,,
7629873,2022-08-20T10:00:00Z,1,,complete,7+ Preparation,561238,1749613,1771995,1765910,68,50,20/08/2022 10:00,18,18,20,20,,,
7657466,2022-08-20T10:00:00Z,2,,complete,Lesson 3,563111,1776229,1756776,1751232,70,50,20/08/2022 10:00,20,40,18,36,,,
7651542,2022-08-22T11:00:00Z,2,,complete,Business Studies - Session 3,554683,1756419,1756776,1751232,70,65,22/08/2022 11:00,5,10,5,10,,,
7629822,2022-08-23T16:00:00Z,1,,complete,7+ Preparation,561238,1749613,1771995,1765910,68,50,23/08/2022 16:00,18,18,18,18,,,
7516115,2022-08-23T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,23/08/2022 17:00,18,18,24,24,,,
7629655,2022-08-23T17:15:00Z,1.5,,cancelled,"Maths, English, Science & History",552865,1749613,1749548,1749547,68,50,23/08/2022 17:15,18,27,24,36,,,
7878284,2022-08-23T17:30:00Z,1,,complete,11+ Verbal Reasoning Focus,552880,1749410,1749559,1749558,65,43,23/08/2022 17:30,22,22,22,22,,,
7630092,2022-08-24T16:00:00Z,1,,complete,11+ ISEB Preparation,561260,1749613,1772022,1751233,70,50,24/08/2022 16:00,20,20,20,20,,,
